# 7 lines comment #######################################################################################################################################
# CSV-file forked from https://github.com/ieg-dhr/bombers_baedeker/blob/d635654323c99c4540b390c0a5a39d4121760cc5/visualisation/coords_dariah_format.csv #
# to contribute valid geographic coordinates in decimal degrees and standard wkt-format                                                                 #
# cf. https://hackmd.io/@KaCeBe/qgis_csv_bombers_baedeker2                                                                                              #
# field types: fid:integer; Name:string, lat_gm:string, lon_gm:string, note:string; lat_dec:real; lon_dec:real; WKT:string                              #
# Some placenames and coordinate numbers have been corrected, cf. attribute comment on changes                                                          #
#########################################################################################################################################################
fid,Name,lat_gm,lon_gm,note,lat_dec,lon_dec,WKT
63,BURGHAUSEN,48°10,12°50,,48.17,12.83,POINT (12.8333333333333 48.1666666666667)
64,BURGSTADT,50°55,12°50,,50.92,12.83,POINT (12.8333333333333 50.9166666666667)
65,CASTROP-RAUXEL,51°35,7°20,,51.58,7.33,POINT (7.33333333333333 51.5833333333333)
66,CELLE,52°35,10°5,,52.58,10.08,POINT (10.0833333333333 52.5833333333333)
67,CHEMNITZ,50°50,12°55,,50.83,12.92,POINT (12.9166666666667 50.8333333333333)
68,CLAUSTHAL-ZELLERFELD,51°48,10°20,,51.8,10.33,POINT (10.3333333333333 51.8)
69,COBURG,50°15,11°0;,,50.25,11,POINT (11.0 50.25)
70,COSWIG,51°55,12°30,,51.92,12.5,POINT (12.5 51.9166666666667)
71,COSWIG,51°10,13°30,OCR issue TT->W,51.17,13.5,POINT (13.5 51.1666666666667)
72,COTTBUS,51°45,14°20,,51.75,14.33,POINT (14.3333333333333 51.75)
73,CRIMMITSCHAU,50°50,12°25,,50.83,12.42,POINT (12.4166666666667 50.8333333333333)
74,CUXHAVEN,53°50,8°40,,53.83,8.67,POINT (8.66666666666667 53.8333333333333)
75,DANZIG,54°20,18°40,,54.33,18.67,POINT (18.6666666666667 54.3333333333333)
76,DARMSTADT,49°50,8°40,,49.83,8.67,POINT (8.66666666666667 49.8333333333333)
77,DATTELN,51°40,7°20,,51.67,7.33,POINT (7.33333333333333 51.6666666666667)
78,DEGGENDORF,48°50,13°0,,48.83,13,POINT (13.0 48.8333333333333)
79,DEMMIN,53°55,13°0,,53.92,13,POINT (13.0 53.9166666666667)
80,DESCHOWITZ,50°25,18°10,,50.42,18.17,POINT (18.1666666666667 50.4166666666667)
81,DESSAU,51°50,12°10,,51.83,12.17,POINT (12.1666666666667 51.8333333333333)
82,DETMOLD,51°55,8°55,,51.92,8.92,POINT (8.91666666666667 51.9166666666667)
83,DILLINGEN,49°20,6°45,,49.33,6.75,POINT (6.75 49.3333333333333)
84,DOBELN,51°15,13°5,,51.25,13.08,POINT (13.0833333333333 51.25)
85,DONAUWOERTH,48°45,10°50,,48.75,10.83,POINT (10.8333333333333 48.75)
86,DORMAGEN,51°5,6°35,,51.08,6.58,POINT (6.58333333333333 51.0833333333333)
87,DORTMUND,51°30,7°30,,51.5,7.5,POINT (7.5 51.5)
88,DREETZ,52°50,12°25,,52.83,12.42,POINT (12.4166666666667 52.8333333333333)
89,DRESDEN,51°3,13°45,,51.05,13.75,POINT (13.75 51.05)
90,DUDWEILER,49°15,7°0,,49.25,7,POINT (7.0 49.25)
91,DUISBURG,51°25,6°45,,51.42,6.75,POINT (6.75 51.4166666666667)
92,DUELKEN,51°15,6°20,umlauts resolved,51.25,6.33,POINT (6.33333333333333 51.25)
93,DUEREN,50°50,6°30,umlauts resolved,50.83,6.5,POINT (6.5 50.8333333333333)
94,DUENEBERG-KRUEMMEL,53°27,10°22,umlauts resolved,53.45,10.37,POINT (10.3666666666667 53.45)
95,DUESSELDORF,51°15,6°50,,51.25,6.83,POINT (6.83333333333333 51.25)
96,EBINGEN,48°15,9°0,,48.25,9,POINT (9.0 48.25)
97,EHRANG,49°50,6°50,,49.83,6.83,POINT (6.83333333333333 49.8333333333333)
98,EILENBURG,51°30,12°40,,51.5,12.67,POINT (12.6666666666667 51.5)
99,EISENBERG,50°58,18°54,,50.97,18.9,POINT (18.9 50.9666666666667)
100,EISLEBEN,51°30,11°30,,51.5,11.5,POINT (11.5 51.5)
101,ELBING,52°10,19°25,,52.17,19.42,POINT (19.4166666666667 52.1666666666667)
102,ELMSHORN,53°45,9°40,,53.75,9.67,POINT (9.66666666666667 53.75)
103,EMDEN,50°20,7°10,,50.33,7.17,POINT (7.16666666666667 50.3333333333333)
104,EMMENDINGEN,48°10,7°50,,48.17,7.83,POINT (7.83333333333333 48.1666666666667)
