# 7 lines comment #######################################################################################################################################
# CSV-file forked from https://github.com/ieg-dhr/bombers_baedeker/blob/d635654323c99c4540b390c0a5a39d4121760cc5/visualisation/coords_dariah_format.csv #
# to contribute valid geographic coordinates in decimal degrees and standard wkt-format                                                                 #
# cf. https://hackmd.io/@KaCeBe/qgis_csv_bombers_baedeker2                                                                                              #
# field types: fid:integer; Name:string, lat_gm:string, lon_gm:string, note:string; lat_dec:real; lon_dec:real; WKT:string                              #
# Some placenames and coordinate numbers have been corrected, cf. attribute comment on changes                                                          #
#########################################################################################################################################################
fid,Name,lat_gm,lon_gm,note,lat_dec,lon_dec,WKT
267,MEERANE,50°50,12°30,,50.83,12.5,POINT (12.5 50.8333333333333)
268,MEININGEN,50°35,10°25,,50.58,10.42,POINT (10.4166666666667 50.5833333333333)
269,MEISSEN,51°10,13°30,,51.17,13.5,POINT (13.5 51.1666666666667)
270,MELLE,52°12,8°20,,52.2,8.33,POINT (8.33333333333333 52.2)
271,MENDEN,51°25,7°50,,51.42,7.83,POINT (7.83333333333333 51.4166666666667)
272,MERSEBURG,51°20,12°0,,51.33,12,POINT (12.0 51.3333333333333)
273,METTMANN,51°15,7°0,,51.25,7,POINT (7.0 51.25)
274,MEUSELWITZ,51°02,12°17,,51.03,12.28,POINT (12.2833333333333 51.0333333333333)
275,MINDEN,52°15,8°55,,52.25,8.92,POINT (8.91666666666667 52.25)
276,MITTWEIDA,51°0,13°0,,51,13,POINT (13 51)
277,MOERS,51°25,6°35,,51.42,6.58,POINT (6.58333333333333 51.4166666666667)
278,MOSBACH,49°21,09°08,,49.35,9.13,POINT (9.13333333333333 49.35)
279,MOEHLDORF,48°15,12°35,umlauts resolved,48.25,12.58,POINT (12.5833333333333 48.25)
280,MUEHLHAUSEN,51°15,10°25,umlauts resolved,51.25,10.42,POINT (10.4166666666667 51.25)
281,MUEHLHEIM,51°25,6°55,umlauts resolved,51.42,6.92,POINT (6.91666666666667 51.4166666666667)
282,MUENCHEN,48°10,11°35,umlauts resolved,48.17,11.58,POINT (11.5833333333333 48.1666666666667)
283,MOENCHENGLADBACH,51°15,6°25,"FORMER MUNICH, OCR issue",51.25,6.42,POINT (6.41666666666667 51.25)
284,NAUMBURG,51°10,11°50,,51.17,11.83,POINT (11.8333333333333 51.1666666666667)
285,NEHEIM,51°25,7°55,OCR issue,51.42,7.92,POINT (7.91666666666667 51.4166666666667)
286,NEISSE,50°30,17°20,,50.5,17.33,POINT (17.3333333333333 50.5)
287,NEUBRANDENBURG,53°35,13°15,,53.58,13.25,POINT (13.25 53.5833333333333)
288,NEU-ISENBURG,50°5,8°45,,50.08,8.75,POINT (8.75 50.0833333333333)
289,NEUMUENSTER,54°5,10°0,umlauts resolved,54.08,10,POINT (10.0 54.0833333333333)
290,NEUNKIRCHEN,49°20,7°10,,49.33,7.17,POINT (7.16666666666667 49.3333333333333)
291,NEURUPPIN,52°55,12°50,,52.92,12.83,POINT (12.8333333333333 52.9166666666667)
292,NEUSALZ,51°50,15°45,,51.83,15.75,POINT (15.75 51.8333333333333)
293,NEUSS,51°12,6°42,,51.2,6.7,POINT (6.7 51.2)
294,NEUSTADT,49°20,8°10,,49.33,8.17,POINT (8.16666666666667 49.3333333333333)
295,NEUSTADT-GLEWE,53°20,11°35,,53.33,11.58,POINT (11.5833333333333 53.3333333333333)
296,NEUSTETTIN,53°45,16°40,,53.75,16.67,POINT (16.6666666666667 53.75)
297,NEUSTRELITZ,53°20,13°5,,53.33,13.08,POINT (13.0833333333333 53.3333333333333)
298,NEUWIED,50°25,7°25,,50.42,7.42,POINT (7.41666666666667 50.4166666666667)
299,NIEDERMARSBERG,51°28,8°52,,51.47,8.87,POINT (8.86666666666667 51.4666666666667)
300,NIENBURG,52°38,9°13,,52.63,9.22,POINT (9.21666666666667 52.6333333333333)
301,NIESKY,51°17,14°50,,51.28,14.83,POINT (14.8333333333333 51.2833333333333)
302,NORDENHAM,53°30,8°30,,53.5,8.5,POINT (8.5 53.5)
303,NORDHAUSEN,51°30,10°50,,51.5,10.83,POINT (10.8333333333333 51.5)
304,NORDHORN,52°25,7°5,,52.42,7.08,POINT (7.08333333333333 52.4166666666667)
305,NUERNBERG,49°30,11°5,umlauts resolved,49.5,11.08,POINT (11.0833333333333 49.5)
306,OBERHAUSEN,51°30,6°50,,51.5,6.83,POINT (6.83333333333333 51.5)
307,OBERNBURG/MAIN,49°50,9°09,,49.83,9.15,POINT (9.15 49.8333333333333)
308,OBERNDORF,48°15,8°35,,48.25,8.58,POINT (8.58333333333333 48.25)
309,OBERNKIRCHEN,52°15,9°5,,52.25,9.08,POINT (9.08333333333333 52.25)
310,OBERSCHELD,50°45,8°10,,50.75,8.17,POINT (8.16666666666667 50.75)
311,OBERURSEL,50°10,8°35,,50.17,8.58,POINT (8.58333333333333 50.1666666666667)
312,OELS,51°15,17°10,,51.25,17.17,POINT (17.1666666666667 51.25)
313,OELSNITZ,50°25,12°10,,50.42,12.17,POINT (12.1666666666667 50.4166666666667)
314,OESTRICH,50°5,8°5,,50.08,8.08,POINT (8.08333333333333 50.0833333333333)
315,OFFENBACH-ON-MAIN,50°5,8°45,,50.08,8.75,POINT (8.75 50.0833333333333)
316,OFFENBURG,48°30,7°55,,48.5,7.92,POINT (7.91666666666667 48.5)
317,OLDENBURG,53°10,8°10,,53.17,8.17,POINT (8.16666666666667 53.1666666666667)
318,OPLADEN,51°5,7°0,,51.08,7,POINT (7.0 51.0833333333333)
319,OPPELN,50°40,7°55,,50.67,7.92,POINT (7.91666666666667 50.6666666666667)
320,ORTELSBURG,53°35,21°0,,53.58,21,POINT (21.0 53.5833333333333)
321,OSNABRUECK,52°15,8°5,umlauts resolved,52.25,8.08,POINT (8.08333333333333 52.25)
322,OSTERNIENBURG,51°50,12°0,,51.83,12,POINT (12.0 51.8333333333333)
323,PADERBORN,51°45,8°45,,51.75,8.75,POINT (8.75 51.75)
324,PARCHIM,53°25,11°50,,53.42,11.83,POINT (11.8333333333333 53.4166666666667)
325,PEINE,52°20,10°15,,52.33,10.25,POINT (10.25 52.3333333333333)
326,PEISKRETSCHAM,50°20,18°35,,50.33,18.58,POINT (18.5833333333333 50.3333333333333)
327,PETERSDORF,50°50,15°35,,50.83,15.58,POINT (15.5833333333333 50.8333333333333)
328,PFORZHEIM,48°55,8°40,,48.92,8.67,POINT (8.66666666666667 48.9166666666667)
329,PIESTERITZ,51°55,12°35,,51.92,12.58,POINT (12.5833333333333 51.9166666666667)
330,PILLAU,54°40,19°55,,54.67,19.92,POINT (19.9166666666667 54.6666666666667)
331,PINNEBERG,53°40,9°48,,53.67,9.8,POINT (9.8 53.6666666666667)
332,PIRMASENS,49°10,7°35,,49.17,7.58,POINT (7.58333333333333 49.1666666666667)
333,PLANITZ,50°40,12°30,,50.67,12.5,POINT (12.5 50.6666666666667)
334,PLAUEN,50°30,12°10,,50.5,12.17,POINT (12.1666666666667 50.5)
335,PLETTENBERG,51°13,7°52,,51.22,7.87,POINT (7.86666666666667 51.2166666666667)
336,POESSNECK,50°40,11°35,,50.67,11.58,POINT (11.5833333333333 50.6666666666667)
337,POTSDAM,52°25,13°5,,52.42,13.08,POINT (13.0833333333333 52.4166666666667)
338,PREMNITZ,52°35,12°20,,52.58,12.33,POINT (12.3333333333333 52.5833333333333)
339,PRENZLAU,53°20,13°50,,53.33,13.83,POINT (13.8333333333333 53.3333333333333)
340,QUEDLINBURG,51°45,11°10,,51.75,11.17,POINT (11.1666666666667 51.75)
341,RADEBERG,51°5,13°55,,51.08,13.92,POINT (13.9166666666667 51.0833333333333)
342,RADEBEUL,51°5,13°40,,51.08,13.67,POINT (13.6666666666667 51.0833333333333)
343,RASTATT,48°50,8°15,,48.83,8.25,POINT (8.25 48.8333333333333)
344,RASTENBURG,54°5,21°25,,54.08,21.42,POINT (21.4166666666667 54.0833333333333)
345,RATHENOW,52°35,12°20,,52.58,12.33,POINT (12.3333333333333 52.5833333333333)
346,RATIBOR,50°5,18°15,,50.08,18.25,POINT (18.25 50.0833333333333)
347,RAVENSBURG,47°45,9°35,,47.75,9.58,POINT (9.58333333333333 47.75)
348,RECKLINGHAUSEN,51°37,7°12,,51.62,7.2,POINT (7.2 51.6166666666667)
349,REICHENBACH,50°35,12°20,,50.58,12.33,POINT (12.3333333333333 50.5833333333333)
350,REICHENBACH,50°45,16°40,,50.75,16.67,POINT (16.6666666666667 50.75)
351,REMSCHEID,51°11,7°10,,51.18,7.17,POINT (7.16666666666667 51.1833333333333)
352,RENDSBURG,54°20,9°40,,54.33,9.67,POINT (9.66666666666667 54.3333333333333)
353,REPELEN,51°30,6°40,HEUTE RHEINKAMP,51.5,6.67,POINT (6.66666666666667 51.5)
354,REUTLINGEN,48°30,9°10,,48.5,9.17,POINT (9.16666666666667 48.5)
355,RHEINE,52°17,7°27,,52.28,7.45,POINT (7.45 52.2833333333333)
356,RHEINFELDEN,47°35,7°50,,47.58,7.83,POINT (7.83333333333333 47.5833333333333)
357,RHEYDT,51°10,6°30,,51.17,6.5,POINT (6.5 51.1666666666667)
358,RIESA,51°20,13°20,,51.33,13.33,POINT (13.3333333333333 51.3333333333333)
359,RONNEBURG,50°50,12°5,,50.83,12.08,POINT (12.0833333333333 50.8333333333333)
360,ROSENHEIM,47°50,12°10,,47.83,12.17,POINT (12.1666666666667 47.8333333333333)
361,ROSSWEIN,51°5,13°10,,51.08,13.17,POINT (13.1666666666667 51.0833333333333)
362,ROSTOCK,54°5,12°10,,54.08,12.17,POINT (12.1666666666667 54.0833333333333)
363,ROTTWEIL,48°10,8°35,,48.17,8.58,POINT (8.58333333333333 48.1666666666667)
364,RUDOLSTADT,50°40,11°20,,50.67,11.33,POINT (11.3333333333333 50.6666666666667)
365,RUHLA,50°55,10°25,,50.92,10.42,POINT (10.4166666666667 50.9166666666667)
366,RUMMENOHL,51°15,7°30,,51.25,7.5,POINT (7.5 51.25)
367,SAALfELD,50°40,11°20,OCR issue,50.67,11.33,POINT (11.3333333333333 50.6666666666667)
368,SAARBRUECKEN,49°15,7°0,,49.25,7,POINT (7.0 49.25)
369,SAARLAUTERN,49°20,6°45,,49.33,6.75,POINT (6.75 49.3333333333333)
370,SAGAN,51°40,15°10,,51.67,15.17,POINT (15.1666666666667 51.6666666666667)
371,SALZGITTER,52°O5,10°32,,52.08,10.53,POINT (10.5333333333333 52.0833333333333)
372,SALZWEDEL,52°50,11°10,,52.83,11.17,POINT (11.1666666666667 52.8333333333333)
373,SANGERHAUSEN,51°30,11°20,,51.5,11.33,POINT (11.3333333333333 51.5)
374,SCHKEUDITZ,51°25,12°10,,51.42,12.17,POINT (12.1666666666667 51.4166666666667)
375,SCHKOPAU,51°20,12°0,,51.33,12,POINT (12.0 51.3333333333333)
376,SCHLESWIG,54°30,9°35,,54.5,9.58,POINT (9.58333333333333 54.5)
377,SCHEIDEMÜHL,53°10,16°45,,53.17,16.75,POINT (16.75 53.1666666666667)
378,SCHÖNINGEN,52°10,11°0,,52.17,11,POINT (11.0 52.1666666666667)
379,SCHRAMBERG,48°15,8°25,,48.25,8.42,POINT (8.41666666666667 48.25)
380,SCHWABACH,49°20,11°0,,49.33,11,POINT (11.0 49.3333333333333)
381,SCHWÄBISCH—GMÜND,48°50,9°50,,48.83,9.83,POINT (9.83333333333333 48.8333333333333)
382,SCHWABISCH-HALL,49°5,9°45,,49.08,9.75,POINT (9.75 49.0833333333333)
383,SCHWANDORF,49°20,12°5,,49.33,12.08,POINT (12.0833333333333 49.3333333333333)
384,SCHWEIDNITZ,50°50,16°30,,50.83,16.5,POINT (16.5 50.8333333333333)
385,SCHWEINFURT,50°5,10°15,,50.08,10.25,POINT (10.25 50.0833333333333)
386,SCHWENNINGEN,48°5,8°30,,48.08,8.5,POINT (8.5 48.0833333333333)
387,SCHWERIN,53°35,11°25,,53.58,11.42,POINT (11.4166666666667 53.5833333333333)
388,SCHWERTE,51°25,7°35,,51.42,7.58,POINT (7.58333333333333 51.4166666666667)
389,SENFTENBERG,51°30,14°0,,51.5,14,POINT (14.0 51.5)
390,SIEGBURG,50°45,7°10,,50.75,7.17,POINT (7.16666666666667 50.75)
391,SIEGEN,50°55,8°0,,50.92,8,POINT (8.0 50.9166666666667)
392,SIEGMAR-SCHOENAU,50°50,12°55,umlauts resolved,50.83,12.92,POINT (12.9166666666667 50.8333333333333)
393,SIGMARINGEN,48°5,9°15,,48.08,9.25,POINT (9.25 48.0833333333333)
394,SINDELFINGEN,48°45,9°0,,48.75,9,POINT (9.0 48.75)
395,SINGEN,47°45,8°50,,47.75,8.83,POINT (8.83333333333333 47.75)
396,SOEST,51°35,8°5,,51.58,8.08,POINT (8.08333333333333 51.5833333333333)
397,SOLINGEN,51°10,7°05,,51.17,7.08,POINT (7.08333333333333 51.1666666666667)
398,SOEMMERDA,51°10,11°10,umlauts resolved,51.17,11.17,POINT (11.1666666666667 51.1666666666667)
399,SOMMERFELD,51°45,15°0;,,51.75,15,POINT (15.0 51.75)
400,SONNEBERG,50°20,11°10,,50.33,11.17,POINT (11.1666666666667 50.3333333333333)
401,SONNENBURG,52°35,14°50,,52.58,14.83,POINT (14.8333333333333 52.5833333333333)
402,SORAU,51°40,15°10,,51.67,15.17,POINT (15.1666666666667 51.6666666666667)
403,SPEYER,49°20,8°25,,49.33,8.42,POINT (8.41666666666667 49.3333333333333)
404,SPREMBERG,51°30,14°25,,51.5,14.42,POINT (14.4166666666667 51.5)
405,STADE,53°35,9°30,,53.58,9.5,POINT (9.5 53.5833333333333)
406,STADELN,49°30,11°0,Latitude corrected from OCR,49.5,11,POINT (11.0 49.5)
407,STARGARD,53°20,15°0,,53.33,15,POINT (15.0 53.3333333333333)
408,STASSFURT,51°50,11°35,,51.83,11.58,POINT (11.5833333333333 51.8333333333333)
409,STENDAL,52°35,11°50,,52.58,11.83,POINT (11.8333333333333 52.5833333333333)
410,STETTIN,53°25,14°35,,53.42,14.58,POINT (14.5833333333333 53.4166666666667)
411,STOCKSTADT,50°0,9°0,,50,9,POINT (9 50)
412,STOLBERG,50°45,6°15,,50.75,6.25,POINT (6.25 50.75)
413,STOLP,54°30,17°0,,54.5,17,POINT (17.0 54.5)
414,STRALSUND,54°20,13°5,,54.33,13.08,POINT (13.0833333333333 54.3333333333333)
415,STRAUBING,48°55,12°35,,48.92,12.58,POINT (12.5833333333333 48.9166666666667)
416,STRIEGAU,50°55,16°20,,50.92,16.33,POINT (16.3333333333333 50.9166666666667)
417,STUTTGART,48°45,9°10,,48.75,9.17,POINT (9.16666666666667 48.75)
418,SUHL,50°35,10°40,,50.58,10.67,POINT (10.6666666666667 50.5833333333333)
419,SWINEMUENDE,53°55,14°15,umlauts resolved,53.92,14.25,POINT (14.25 53.9166666666667)
420,TEICHWOLFRAMSDORF,50°14,12°15,,50.23,12.25,POINT (12.25 50.2333333333333)
421,TENINGEN,48°45,7°55,OCR-corrections,48.75,7.92,POINT (7.91666666666667 48.75)
422,THALE,51°45,11°5,OCR-corrections,51.75,11.08,POINT (11.0833333333333 51.75)
423,TILSIT,55°5,21°55,,55.08,21.92,POINT (21.9166666666667 55.0833333333333)
424,TODTNAU,47°50,7°55,,47.83,7.92,POINT (7.91666666666667 47.8333333333333)
425,TORGAU,51°35,13°0;,,51.58,13,POINT (13.0 51.5833333333333)
426,TREBBIN,52°15,13°15,,52.25,13.25,POINT (13.25 52.25)
427,TRIER,49°45,6°40,,49.75,6.67,POINT (6.66666666666667 49.75)
428,TROSTBERG,48°5,12°35,,48.08,12.58,POINT (12.5833333333333 48.0833333333333)
429,TUEBINGEN,48°30,9°5,umlauts resolved,48.5,9.08,POINT (9.08333333333333 48.5)
430,TUTOW,53°55,13°15,,53.92,13.25,POINT (13.25 53.9166666666667)
431,UECKERMUENDE,53°45,14°5,umlauts resolved,53.75,14.08,POINT (14.0833333333333 53.75)
432,UELZEN,52°55,10°35,,52.92,10.58,POINT (10.5833333333333 52.9166666666667)
433,UERDINGEN,51°23,6°30,,51.38,6.5,POINT (6.5 51.3833333333333)
434,ULM,48°25,10°0,,48.42,10,POINT (10.0 48.4166666666667)
435,UNNA,51°30,7°40,,51.5,7.67,POINT (7.66666666666667 51.5)
436,VACHA,50°50,10°0,,50.83,10,POINT (10.0 50.8333333333333)
437,VAREL,53°25,8°10,,53.42,8.17,POINT (8.16666666666667 53.4166666666667)
438,VELBERT,51°20,7°5,,51.33,7.08,POINT (7.08333333333333 51.3333333333333)
439,VELTEN,52°40,13°10,,52.67,13.17,POINT (13.1666666666667 52.6666666666667)
440,VIERSEN,51°15,6°25,,51.25,6.42,POINT (6.41666666666667 51.25)
441,VILLINGEN,48°5,8°25,,48.08,8.42,POINT (8.41666666666667 48.0833333333333)
442,VOLKLINGEN,49°15,6°50,,49.25,6.83,POINT (6.83333333333333 49.25)
443,WALCHENSEE,47°40,11°20,,47.67,11.33,POINT (11.3333333333333 47.6666666666667)
444,WALDECK,51°10,9°5,,51.17,9.08,POINT (9.08333333333333 51.1666666666667)
445,WALDENBURG,50°45,16°15,,50.75,16.25,POINT (16.25 50.75)
446,WALDSHUT,47°35,8°15,,47.58,8.25,POINT (8.25 47.5833333333333)
447,WALSRODE,52°45,9°35,,52.75,9.58,POINT (9.58333333333333 52.75)
448,WALTERSHAUSEN,49°55,10°55,,49.92,10.92,POINT (10.9166666666667 49.9166666666667)
449,WANNE-EICKEL,51°50,7°10,,51.83,7.17,POINT (7.16666666666667 51.8333333333333)
450,WAREN,53°30,12°40,,53.5,12.67,POINT (12.6666666666667 53.5)
451,WARNEMUENDE,54°10,12°5,umlauts resolved,54.17,12.08,POINT (12.0833333333333 54.1666666666667)
452,WASSERALFINGEN,48°50,10°5,,48.83,10.08,POINT (10.0833333333333 48.8333333333333)
453,WATTENSCHEID,51°30,7°05,,51.5,7.08,POINT (7.08333333333333 51.5)
454,WEIDA,50°45,12°5,,50.75,12.08,POINT (12.0833333333333 50.75)
455,WEIDEN,49°40,12°10,,49.67,12.17,POINT (12.1666666666667 49.6666666666667)
456,WEINHEIM,49°35,8°40;,,49.58,8.67,POINT (8.66666666666667 49.5833333333333)
457,WEISSENFELS,51°10,12°0;,,51.17,12,POINT (12.0 51.1666666666667)
458,WEISSIG,51°20,13°25,,51.33,13.42,POINT (13.4166666666667 51.3333333333333)
459,WEISSTEIN,50°45,16°15,,50.75,16.25,POINT (16.25 50.75)
460,WENZENDORF,53°20,9°45,,53.33,9.75,POINT (9.75 53.3333333333333)
461,WERDAU,50°45,12°25,,50.75,12.42,POINT (12.4166666666667 50.75)
462,WERDER,52°25,12°25,,52.42,12.42,POINT (12.4166666666667 52.4166666666667)
463,WERDOHL,51°15,7°50,,51.25,7.83,POINT (7.83333333333333 51.25)
464,WERNIGERODE,51°50,10°45,,51.83,10.75,POINT (10.75 51.8333333333333)
465,WERTHEIM,49°45,9°30,,49.75,9.5,POINT (9.5 49.75)
466,WESEL,51°40,6°40,,51.67,6.67,POINT (6.66666666666667 51.6666666666667)
467,WESSELING,50°49,7°0;,,50.82,7,POINT (7.0 50.8166666666667)
468,WESTERLAND,54°50,8°20,,54.83,8.33,POINT (8.33333333333333 54.8333333333333)
469,WETZLAR,50°33,8°30,,50.55,8.5,POINT (8.5 50.55)
470,WIESBADEN,50°5,8°15,,50.08,8.25,POINT (8.25 50.0833333333333)
471,WILDFLECKEN,50°20,9°55,,50.33,9.92,POINT (9.91666666666667 50.3333333333333)
472,WILHELMSHAVEN,53°32,8°7,,53.53,8.12,POINT (8.11666666666667 53.5333333333333)
473,WISMAR,53°54,11°28,,53.9,11.47,POINT (11.4666666666667 53.9)
474,WITTEN,51°25,7°20,,51.42,7.33,POINT (7.33333333333333 51.4166666666667)
475,WITTENBERG,51°55,12°40,,51.92,12.67,POINT (12.6666666666667 51.9166666666667)
476,WOLFENBUETTEL,52°10,10°30,umlauts resolved,52.17,10.5,POINT (10.5 52.1666666666667)
477,WOLFRATSHAUSEN,47°55,11°25,,47.92,11.42,POINT (11.4166666666667 47.9166666666667)
478,WORMS,49°40,8°20,,49.67,8.33,POINT (8.33333333333333 49.6666666666667)
479,WUPPERTAL,51°15,7°15,,51.25,7.25,POINT (7.25 51.25)
480,WUERZBURG,49°48,9°55,umlauts resolved,49.8,9.92,POINT (9.91666666666667 49.8)
481,WURZEN,51°20,12°45,,51.33,12.75,POINT (12.75 51.3333333333333)
482,WUSTERMARK,52°35,12°56,,52.58,12.93,POINT (12.9333333333333 52.5833333333333)
483,WYHLEH,47°35,7°55,,47.58,7.92,POINT (7.91666666666667 47.5833333333333)
484,ZEITZ,51°5,12°10,,51.08,12.17,POINT (12.1666666666667 51.0833333333333)
485,ZELLA-MEHLIS,50°40,10°40,,50.67,10.67,POINT (10.6666666666667 50.6666666666667)
486,ZEULENRODA,50°40,12°0;,,50.67,12,POINT (12.0 50.6666666666667)
487,ZITTAU,50°55,14°5,,50.92,14.08,POINT (14.0833333333333 50.9166666666667)
488,ZOPPOT,54°25,17°35,,54.42,17.58,POINT (17.5833333333333 54.4166666666667)
489,ZSCHOPAU,50°45,13°5,,50.75,13.08,POINT (13.0833333333333 50.75)
490,ZWEIBRUCKEN,49°15,7°20,,49.25,7.33,POINT (7.33333333333333 49.25)
491,ZWICKAU,50°45,12°30,,50.75,12.5,POINT (12.5 50.75)
